卡片 ID,卡片名稱,卡片分類,卡片等級,獲得資源,販賣金幣,石頭,水,木材,食物,金屬,珠寶,物品1,物品2,金幣,卡片描述
wood_1_1,斷掉的球棒,木材,1,1,10,0,0,0,0,0,0,,,0,某兩間學校曲棍球友誼賽之後留下來的棍棒，最低階的木材來源
wood_1_2,保命稻草人,木材,1,2,15,0,0,0,0,0,0,,,0,在逃跑時可以抵擋一次攻擊，且有生火的作用
water_1_1,路邊的積水,水,1,1,10,0,0,0,0,0,0,,,0,下雨後地上的積水，最低階的水資源，但是快渴死的時候可以救命
water_1_2,過期十年的汽水,水,1,1,10,0,1,0,0,0,0,,,0,"雖然過期很久,但沒水時還是能喝"
stone_1_1,路邊的石頭,石頭,1,1,10,0,0,0,0,0,0,,,0,隨便都能撿到的路邊石頭，最低階的石材來源
stone_1_2,碎掉的磚塊,石頭,1,1,10,0,0,0,0,0,0,,,0,從廢棄建築挖下來的破裂磚塊，可以用來墊烤肉架
item_1_1,竹竿綁菜刀,物品,1,0,20,0,0,1,0,1,0,,,10,古時候閩南人跟客家人械鬥的武器，菜刀綁在竹竿上就很兇猛
metal_1_1,壞掉的平底鍋,金屬,1,1,10,0,0,0,0,0,0,,,0,某高中家政課用了 20 年的平底鍋，拿來回收可以得到一點鐵礦
metal_1_2,原石,金屬,1,1,10,0,0,0,0,0,0,,,0,提瓦特大陸的通用貨幣，但在地球無法使用
metal_1_3,垃圾的垃圾桶,金屬,1,1,15,0,0,0,0,1,0,,,0,可以裝垃圾和垃圾人
metal_2_1,哆啦A夢,金屬,2,2,20,0,0,0,0,1,0,,,0,來自22世紀的智能貓型機器人，擁有許多未來的神奇道具。
food_1_1,過期的吐司,食物,1,1,10,0,0,0,0,0,0,,,0,剛過期兩天的白吐司，雖然有點可怕但還可以吃，窮學生必備的食物。
food_1_1,蜂蜜,食物,1,2,10,0,0,0,1,0,0,,,0,掛穎養的蜜蜂所採集的蜂蜜，就看你敢不敢吃了。
food_1_2,過期的白吐司,食物,1,1,10,0,0,0,1,0,0,,,0,剛過期兩年的白吐司，雖然有點可怕但還可以吃，窮學生必備的食物。
food_1_3,香蕉,食物,1,1,10,0,0,0,0,0,0,,,0,這個學生寫描述寫到一半的時候睡著了，所以沒有任何描述
food_5_1,待宰的柴犬,食物,5,5,50,0,0,0,5,0,0,,,0,柴犬好像也算另類的吐司，好好宰了並處理一下一定是人間美味吧。
jewel_1_1,網購的耳環,珠寶,1,1,10,0,0,0,0,0,0,,,0,某海鮮網購平台買的耳環，買來就是壞的，也算是廣義的一種珠寶吧
jewel_5_1,糾纏之源,珠寶,5,5,100,0,0,0,0,0,0,,,0,提瓦特大陸用來召喚角色的貨幣，但在地球無法使用